suite,space_preset,instance_id,seed_transpiler,optimization_level,layout_method,seed_simulator,shots,method,score,transpiled_depth,transpiled_size,device_provider,device_name,device_mode,device_snapshot_fingerprint,circuit_depth,two_qubit_count,swap_count
standard,compilation_only,ring6,0,0,trivial,0,1024,QAOA_p1,3.10546875,38,84,,,,,38,24,0
standard,compilation_only,ring6,0,0,sabre,0,1024,QAOA_p1,3.09375,35,84,,,,,35,24,0
standard,compilation_only,ring6,0,1,trivial,0,1024,QAOA_p1,3.0625,41,84,,,,,41,24,0
standard,compilation_only,ring6,0,1,sabre,0,1024,QAOA_p1,3.09375,35,84,,,,,35,24,0
standard,compilation_only,ring6,0,2,trivial,0,1024,QAOA_p1,3.0625,41,89,,,,,41,22,0
standard,compilation_only,ring6,0,2,sabre,0,1024,QAOA_p1,3.09375,44,115,,,,,44,22,0
standard,compilation_only,ring6,0,3,trivial,0,1024,QAOA_p1,3.0625,41,89,,,,,41,22,0
standard,compilation_only,ring6,0,3,sabre,0,1024,QAOA_p1,3.09375,44,115,,,,,44,22,0
standard,compilation_only,ring6,1,0,trivial,0,1024,QAOA_p1,3.0625,35,84,,,,,35,24,0
standard,compilation_only,ring6,1,0,sabre,0,1024,QAOA_p1,3.056640625,41,84,,,,,41,24,0
standard,compilation_only,ring6,1,1,trivial,0,1024,QAOA_p1,3.0625,35,84,,,,,35,24,0
standard,compilation_only,ring6,1,1,sabre,0,1024,QAOA_p1,3.056640625,41,84,,,,,41,24,0
standard,compilation_only,ring6,1,2,trivial,0,1024,QAOA_p1,3.0625,35,89,,,,,35,22,0
standard,compilation_only,ring6,1,2,sabre,0,1024,QAOA_p1,3.056640625,44,95,,,,,44,22,0
standard,compilation_only,ring6,1,3,trivial,0,1024,QAOA_p1,3.0625,35,89,,,,,35,22,0
standard,compilation_only,ring6,1,3,sabre,0,1024,QAOA_p1,3.056640625,44,95,,,,,44,22,0
standard,compilation_only,ring6,2,0,trivial,0,1024,QAOA_p1,3.10546875,38,84,,,,,38,24,0
standard,compilation_only,ring6,2,0,sabre,0,1024,QAOA_p1,3.064453125,41,84,,,,,41,24,0
standard,compilation_only,ring6,2,1,trivial,0,1024,QAOA_p1,3.0625,35,84,,,,,35,24,0
standard,compilation_only,ring6,2,1,sabre,0,1024,QAOA_p1,3.064453125,41,84,,,,,41,24,0
standard,compilation_only,ring6,2,2,trivial,0,1024,QAOA_p1,3.0625,35,89,,,,,35,22,0
standard,compilation_only,ring6,2,2,sabre,0,1024,QAOA_p1,3.064453125,47,109,,,,,47,22,0
standard,compilation_only,ring6,2,3,trivial,0,1024,QAOA_p1,3.0625,35,89,,,,,35,22,0
standard,compilation_only,ring6,2,3,sabre,0,1024,QAOA_p1,3.064453125,47,109,,,,,47,22,0
standard,compilation_only,ring6,3,0,trivial,0,1024,QAOA_p1,3.0625,35,84,,,,,35,24,0
standard,compilation_only,ring6,3,0,sabre,0,1024,QAOA_p1,3.16015625,41,84,,,,,41,24,0
standard,compilation_only,ring6,3,1,trivial,0,1024,QAOA_p1,3.10546875,38,84,,,,,38,24,0
standard,compilation_only,ring6,3,1,sabre,0,1024,QAOA_p1,3.16015625,41,84,,,,,41,24,0
standard,compilation_only,ring6,3,2,trivial,0,1024,QAOA_p1,3.10546875,38,89,,,,,38,22,0
standard,compilation_only,ring6,3,2,sabre,0,1024,QAOA_p1,3.16015625,46,107,,,,,46,22,0
standard,compilation_only,ring6,3,3,trivial,0,1024,QAOA_p1,3.10546875,38,89,,,,,38,22,0
standard,compilation_only,ring6,3,3,sabre,0,1024,QAOA_p1,3.16015625,46,107,,,,,46,22,0
standard,compilation_only,ring6,4,0,trivial,0,1024,QAOA_p1,3.0625,41,84,,,,,41,24,0
standard,compilation_only,ring6,4,0,sabre,0,1024,QAOA_p1,3.10546875,38,84,,,,,38,24,0
standard,compilation_only,ring6,4,1,trivial,0,1024,QAOA_p1,3.0625,41,84,,,,,41,24,0
standard,compilation_only,ring6,4,1,sabre,0,1024,QAOA_p1,3.10546875,38,84,,,,,38,24,0
standard,compilation_only,ring6,4,2,trivial,0,1024,QAOA_p1,3.0625,41,89,,,,,41,22,0
standard,compilation_only,ring6,4,2,sabre,0,1024,QAOA_p1,3.10546875,38,89,,,,,38,22,0
standard,compilation_only,ring6,4,3,trivial,0,1024,QAOA_p1,3.0625,41,89,,,,,41,22,0
